,text
0,สวัสดีค่ะ 
1,ขอข้อมูลหลักสูตรหน่อยค่ะ
2,เรียนกี่ปีจบ
3,ค่าเทอมกี่บาท
4,เรียนแมทกี่ตัว
5,มีที่พักไหมคะ
6,เรียนจบไปทำงานอะไร
7,มีหอพักสำหรับนักศึกษามั้ยคะ
8,ค่าหอเท่าไหร่คะ
9,เรียนยากมั้ยคะ 
10,ขอระเบียบการหอพัก
11,เปิดเทอมวันไหน 
12,Hi
13,จบอะไรถึงเรียนได้คะ
14,สายศิลป์เรียนได้ไหม
15,สวัสดี
16,สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ
17,เปิดเรียนปีการศึกษาละกี่เทอมคะ
18,ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
19,อรุณสวัสดิ์ค่ะ :)
20,สนใจเรียนสมัครอย่างไรคะ
21,ขอเว็ปมหาลัยหน่อยจ้า
22,เรียนยากไหม
23,ขอระเบียบการดรอปเรียนหน่อยค่ะ
24,สวัสดีจ้า
25,สวัสดีค่ะ
26,สวัสดีครับ
27,เรียนยากไหม
28,ขอเว็บไซต์สาขาหน่อย
29,ค่าเทอมเท่าไหร่
30,สวัสดี
31,ขอข้อมูลหลักสูตรหน่อย 
32,ขอดูหลักสูตรหน่อย
33,มีหอพักไหมครับ
34,เรียนกี่ปีครับ
35,สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ
36,ตึกสาขาอยู่ที่ไหนครับ
37,ค่าหอเท่าไหร่
38,ค่าเทอมกี่บาท
39,ขอรายวิชาในสาขาหน่อย
40,เทอมนี้มีวิชาอะไรบ้าง 
41,สวัสดี
42,เรียนยากไหมครับ
43,ขอรายละเอียดหลักสูตรหน่อย
44,ขอเว็บสาขาหน่อย
45,ค่าเทอมเท่าไหร่ครับ 
46,ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ
47,ค่าเทอมเทอมละกี่บาทคะ
48,สวัสดีครับ
49,ค่าเทอม เทอมละเท่าไหร่ครับ
50,มีที่พักไหมครับ
51,ค่าหอราคาเท่าไหร่ครับ
52,ขอเว็บไซต์คณะหน่อยหน่อยครับ
53,เรียนยากไหม
54,จบไปทำอะไร 
55,ขอดูหลักสูตรหน่อย 
56,ขอลิ้งค์เว็บไซต์สาขาหน่อย
57,สาขานี้เรียนยากไหม
58,หวัดดีครับ
59,สวัสดีครับ
60,เรียนยากไหม
61,กี่ปีจบ
62,ค่าเทอมเท่าไหร่
63,ลงทะเบียนเรียนวันไหน 
64,ลงทะเบียนเรียนวันไหนครับ
65,ลงทะเบียนเรียนตอนไหนครับ
66,จบสายศิลป์เรียนได้ไหม
67,ค่าเทอมเท่าไหร่
68,ลงทะเบียนเรียนวันไหน 
69,เรียนปีละกี่เทอม
70,จบสายศิลป์เข้าเรียนที่นี่ได้ไหมครับ
71,ค่าหอพักราคาเท่าไรหรอคะ
72,ขอเว็บไซต์สาขาหน่อยครับ
73,ขอวิธีการดรอปเรียนหน่อยค่ะ
74,ให้ลงทะเบียนเรียนวันไหนหรอครับ
75,ที่นี่เรียนยากไหมครับ
76,ค่าเทอมกี่บาท
77,จบไปทำอะไรคะ
78,ที่นี่เรียนยากไหมคะ
79,ที่นี่เรียนปีละกี่เทอม
80,สวัสดีค่ะ
81,Hi
82,ตึกสาขาอยู่ตรงไหนคะ
83,ค่าหอพักราคาเท่าไรคะ
84,สนใจสมัครเรียนอย่างไรครับ
85,เรียนกี่ปีจบคะ
86,hi
87,ขอข้อมูลหลักสูตรหน่อยครับ
88,หอพักราคาเท่าไหร่คะ
89,เรียนกี่เทอมต่อปี
90,ตึกสาขาตั้งอยู่ที่ไหน
91,ค่าเทอมราคาเท่าไร
92,จบไปทำงานอะไรได้บ้าง
93,ที่นี่เรียนยากรึเปล่า
94,ลงทะเบียนเรียนวันไหนคะ
95,จบสายศิลป์มาเรียนได้รึเปล่าคะ
96,ลงทะเบียนเรียนวันไหน 
97,เรียนแมทกี่ตัว
98,เรียนยากไหมครับ
99,ลงทะเบียนเรียนวันไหน
100,ขอข้อมูลการสมัครเรียนหน่อยครับ
101,ดรอปเรียนยังไง
102,เรียนแมทเยอะไหม
103,เรียนยากป่าว
104,จบไปทำอะไร
105,มีที่พักไหม
106,สมัครเรียนยังไง
107,เรียนยากไหมครับ 
108,ต้องเรียนแมทป่าว
109,ต้องเรียนอะไรบ้าง
110,ต้องจบอะไรมา
111,ลงทะเบียนเรียนวันไหน 
112,สมัครเรียนวันไหน 
113,เปิดให้ลงทะเบียนเรียนวันไหนคะ
114,ติดต่อสาขาบังไง
115,หวัดดี 
116,เรียนยากไหมครับ 
117,มีหอพักไหม
118,สาขาอยู่ตรงไหนครับ
119,ขอดูหลังสูตรหน่อย 
120,เรียนกี่ปีครับ
121,เปิดลงทะเบียนเรียนตอนไหน
122,จบไปทำงานอะไรครับ
123,สมัครยังไง 
124,เรียนแมทเยอะไหม
125,เรียนยากไหม 
126,สมัครยังไง
127,มีที่พักไหม
128,ติดต่อสาขายังไง
129,สาขาอยู่ไหน 
130,ให้ลงทะเบียนวันไหน
131,ขอดูหลักสูตรค่ะ
132,สวัสดีครับ
133,เรียนยากไหมม
134,เรียนแมทกี่ตัว
135,เรียนแมทยากป่าว 
136,ลงทะเบียนเรียนวันไหนครับ
137,เรียนที่นี่ยากรึเปล่าคะ
138,วันไหนเปิดให้ลงทะเบียนเรียนหรอคะ
139,เปิดเรียนวันไหนครับ
140,เปิดเทอมวันไหนคะ
141,เปิดเทอมเมื่อไรคะ
142,เรียนยากไหมคะ
143,สวัสดีค่ะ
144,อยากรู้หลักสูตรของที่นี่ค่ะ
145,เรียนจบในกี่ปีหรอคะ
146,ค่าเทอมเทอมละเท่าไรหรอคะ
147,ค่าเทอมเท่าไรคะ
148,ค่าเทอมเท่าไรหรอคะ
149,ถ้าอยากดรอปเรียนทำยังไงคะ
150,อยากรู้ระเบียบการดรอปเรียนค่ะ
151,เปิดเทอมวันไหน
152,ตึกสาขาตั้งอยู่ที่ไหนคะ
153,ตึกสาขาตั้งอยู่ที่ไหน
154,จบไปทำงานอะไรได้บ้าง
155,ขอเว็บสาขาหน่อย 
156,เรียนแมทเยอะป่าว
157,ขอเว็บไซต์ของสาขาหน่อยค่ะ
158,มีหอพักไหม
159,เรียนยากไหม
160,สมัครเรียนยังไง
161,ค่าหอเท่าไรคะ
162,หอพักตั้งอยู่ตรงไหนหรอคะ
163,จบสายศิลป์เรียนได้ไหม
164,ต้องจบอะไรถึงสมัครเรียนได้คะ
165,สมัครเรียนวันไหน 
166,ลงทะเบียนเรียนวันไหน 
167,เปิดเทอมตอนไหนครับ
168,ลงทะเบียนเรียนเริ่มวันไหนคะ
169,เรียนยากไหม
170,เปิดเทอมวันไหนคะ
171,เรียนยากรึเปล่า
172,ดรอปเรียนเรียนยังไง
173,ขอเว็บสาขาหน่อย
174,ติดต่อสาขายังไง
175,เรียนแมทยากไหม
176,ขอดูหลักสูตรหน่อย
177,เรียนแมทกี่ตัว
178,ค่าเทอมเท่าไหร่ครับ
179,เทอมนี้ ค่าเทอมเท่าไหร่
180,ค่าเทอมเท่าไรคะ
181,เรียนกี่ปีครับ 
182,เรียนกี่ปีจบคะ
183,สวัสดีค่ะ
184,จบไปทำอะไร
185,หวัดดีครับ
186,สวัสดีครับ
187,สวัสดีฮะ
188,จบไปมีงานอะไรให้ทำบ้างคะ
189,ขอบคุณครับ
190,ขอบบคุณค่าา
191,แต้งกิ้ว
192,ขอบใจจ๊ะ
193,ขอบคุณนะ
194,ขอบคุณครับ
195,ขอบคุณค่ะ
196,เรียนยากไหมครับ
197,ขอบคุณมากๆ ค่ะ
198,ขอหลักสูตรหน่อย
199,ขอบตุณค่ะ
200,เรียนกี่ปีครับ
201,จบไปทำอะไร
202,ขอบคุณมากๆครับ
203,ขอหลักสูตรของสาขาหน่อยค่ะ
204,เรียนจบในกีปี่คะ
205,เรียนยากไหมคะ
206,ต้องเรียนแมทกี่ตัวคะ
207,เรียนจบไปทำอะไรได้บ้างคะ
208,สวัสดีค่ะ
209,ขอบคุณค่ะ
210,ต้องเรียนอะไรมาถึงเข้าได้คะ
211,ต้องเรียนจบสายไหนถึงเข้าได้หรอคะ
212,จำเป็นต้องจบสายไหนถึงเข้าได้คะ
213,เรียนกี่ปีจบหรอคะ
214,ถ้าจะดรอปเรียนต้องทำยังไงคะ
215,ถ้าอยากดรอปเรียนต้องทำยังไงบ้างคะ
216,เรียนจบในกี่ปีหรอคะ
217,ขอดูหลักสูตรหน่อยได้ไหมคะ
218,ขอดูหลักสูตรสาขาค่ะ
219,สวัสดีครับ
220,เรียนยากไหมครับ
221,ขอบคุณครับ
222,เรียนจบแล้วทำอะไร
223,สวัสดีครับ
224,ขอบคุณครับ
225,เรียนกี่ปี
226,ที่นี่เรียนยากไหมคะ
227,เรียนยากไหม
228,จบไปทำงานอะไรได้บ้างคะ
229,ครอปเรียนต้องทำยังไงคะ
230,ขอเว็บไซต์สาขาหน่อยค่ะ
231,ขอเว็บไซต์ติดต่อหน่อยค่ะ
232,มีหอพักไหม
233,เทอมนี้เรียนอะไรบ้าง
234,จบไปทำอะไรได้บ้าง
235,เรียนยากไหม
236,เรียนแมทกี่ตัว
237,จบสายศิลป์เรียนได้ไหม
238,มีหอพักรึเปล่าคะ
239,ที่นี่มีหอพักไหมคะ
240,เรียนแมทกี่ตัวคะ
241,ที่นี่เรียนกี่ปีจบคะ
242,เปิดเทอมวันไหนคะ
243,ขอช่องทางติดต่อสาขาหน่อยค่ะ
244,ตึกสาขาตั้งอยู่ตรงไหนคะ
245,ติดต่อสาขายังไงคะ
246,เรียนยากไหมคะ
247,หอพักอยุ่ไหนคะ
248,ต้องจบอะไรถึงสมัครเรียนที่นี่ได้คะ
249,ต้องจบอะไรหรอคะถึงจะสมัครได้
250,ขอขั้นตอนการดรอปเรียนหน่อยค่ะ
251,เปิดเทอมวันไหนคะ
252,เรียนแมทกี่ตัวคะ
253,เปิดเทอมวันไหน
254,เรียนยากไหม
255,ค่าเทอมเทอมละเท่าไหร่คะ
256,ค่าเทอมเท่าไรคะ
257,เรียนยากกไหม
258,ขอช่องทางติดต่อสาขาหน่อยค่ะ
259,ขอหลักสูตรหน่อย
260,ตึกสาขาตั้งอยู่ตรงไหนคะ
261,สมัครเรียนยังไง
262,ตึกสาขาอยู่ตรงไหน
263,ดรอปเรียนยังไงคะ
264,สวัสดีค่ะ
265,ขอเว็บไซต์สาขาหน่อย
266,ขอหลักสูตรสาขา
267,ดูหลักสูตรสาขาหน่อยค่ะ
268,เว็บไซต์สาขาคืออันไหนคะ
269,ขอเว็บไซต์สาขาหน่อยค่ะ
270,ติดต่อสาขายังไง
271,สวัสดีครับ
272,ขอบคุณมากครับ
273,ขอบใจนะ
274,แต้งกิ้ว
275,ขอบคุณ
276,แต้งกิ้วจ้า
277,ขอบใจมากๆ
278,เรียนยากไหม
279,ขอดูหลักสูตรหน่อย
280,จบไปทำงานไรได้บ้าง
281,ขอดูหลักสูตรหน่อย
282,จบไปทำอะไรได้บ้าง
283,สมัครเรียนยังไง
284,ต้องเรียนสายอะไรถึงเรียนได้
285,เรียนสายศิลป์เรียนได้ไหม
286,เรียนแมทเยอะป่าว
287,เรียนยากไหม
288,จบไปทำอะไร
289,ต้องจบอะไรมาถึงเรียนได้
290,ลงทะเบียนเรียนตอนไหน
291,ที่นี่เรียนยากไหม
292,เปิดเทอมเมื่อไหร่
293,เริ่มลงทะเบียนเรียนตอนไหน
294,เปิดเทอมวันไหน
295,เรียนกี่ปีจบ
296,ขอบคุณนะครับ
297,เรียนยากไหม
298,มีหอพักป่าว
299,เปิดเทอมวันไหน
300,มีหอพักให้พักไหมคะ
301,มีหอพักในมอไหม
302,เริ่มลงทะเบียนวันไหนคะ
303,เรียนยากไหม
304,เปิดเทอมเมื่อไร
305,เทอมนี้เปิดเทอมวันไหน
306,ขอดูหลักสูตรหน่อยค่ะ
307,ขอหลักสูตรค่ะ
308,ขอบคุณค่ะ
309,ขอบคุณนะคะ
310,สวัสดีครับ
311,เรียนยากไหม
312,มีหอพักป่าว
313,สาขาอยู่ไหน
314,สวัสดีครับ
315,เรียนยากไหม
316,จบไปทำอะไรครับ
317,เรียนกี่ปีจบครับ
318,ติดต่อสาขายังไง
319,ขอเว็บสาขาหน่อย
320,ขอบคุณครับ
321,ขอบคุณมากๆครับ
322,ขอบใจนะ
323,แต้งกิ้ว
324,หวัดดีครับ
325,เรียนยากไหม
326,เรียแมทยากป่าว
327,ขอดูหลักสูตรหน่อย
328,สมัครเรียนยังไง
329,ลงทะเบียนตอนไหน
330,เปิดเทอมวันไหน
331,ลงทะเบียนเรียนตอนไหน
332,สายศิลป์เรียนได้ป่าว
333,สมัครเรียนยังไง
334,ดรอปเรียนยังไง
335,มีหอพักไหม
336,ค่าเทอมเท่าไหร่
337,เรียนกี่ปีจบ
338,เรียนยากไหม
339,เปิดเทอมวันไหน
340,ลงทะเบียนเรียนตอนไหน
341,ละทะเบียนเรียนวันไหน
342,ขอบคุณครับ
343,เรียนยากไหม
344,ขอดูหลักสูตรหน่อ
345,สาขาอยุ่ที่ไหน
346,ติดต่อสาขายังไง
347,ขอเว็บไซต์สาขาหน่อย
348,ลงทะเบียนเรียนวันไหน
349,ค่าเทอม เทอมละเท่าไหร่
350,เรียนยากป่าว
351,สายศิลป์เรียนได้ไหม
352,เรียนแมทกี่ตัว
353,ต้องเรียนอะไรบ้าง
354,เปิดเทอมวันไหน
355,เรียนยากไหม
356,สวัสดีครับ
357,หวัดดี
358,ขอหลักสูตรหน่อย
359,ค่าเทอมแพงไหม
360,ค่าเทอมเท่าไหร่
361,เรียนยากป่าว
362,ค่าเทอมเท่าไรคะ
363,เรียนยากมากไหมคะ
364,จบไปทำอะไร
365,มีแมทกี่ตัวคะ
366,มีเรียนแมทกี่ตัวคะ
367,เรียนกี่ปีถึงจะจบครับ
368,จบไปทำอะไรได้บ้าง
369,ขอหลักสูตรหน่อยค่ะ
370,สวัสดีครับ
371,ขอบคุณมากๆครับ
372,ขอบใจครับ
373,สวัสดีครับ
374,ขอบใจนะคะ
375,ขอบคุณนะคะ
376,ค่าหอเท่าไหร
377,มีที่พักไหม
378,มีหอพักให้ป่าว
379,เรียนหนักไหม
380,เรียนหนักอะป่าว
381,เรียนยากไหม
382,จบไปทำอะไรได้บ้าง
383,สมัครเรียนยังไง
384,มีหอพักไหม
385,ที่มอมีหอพักไหมคะ
386,หอพักราคาเท่าไรคะ
387,เรียนกีปีจบคะ
388,เรียนยากไหมคะ
389,มีแมทกี่ตัวคะ
390,เรียนกีปี่จบคะ
391,ค่าเทอมเท่าไร
392,ค่าเทอมกี่บาท
393,ขอหลักสูตรสาขาหน่อยค่ะ
394,เรียนกี่ปีคะ
395,สวัสดีครับบ
396,ขอบคุณครับ
397,ขอบใจนะ
398,ขอบคุณมากๆ
399,ขอดูหลักสูตรหน่อย
400,เรียนยากไหมครับ
401,เรียนหนักไหม
402,เรียนแมทกี่ตัวครับ
403,ค่าเทอมเท่าไหร่
404,เรียนกี่ปีจบ
405,ขอบคุณนะ
406,ขอบคุณ
407,สมัครเรียนยังไง
408,ต้องจบอะไรถึงสมัครที่นี่ได้
409,ลงทะเบียนเรียนตอนไหน
410,เรียนยากป่าว
411,สวัสดีครับ
412,ค่าเทอมเท่าไหร่
413,ค่าเทอมเท่าไรคะ
414,เรียนกี่ปีจบ
415,ขอช่องทางติดต่อสาขาหน่อยค่ะ
416,จบไปทำงานด้านไหน
417,จบไปทำงานอะไร
418,ตึกสาขาตั้งอยู่ตรงไหนคะ
419,ติดต่อสาขายังไง
420,ดรอปเรียนต้องทำยังไงคะ
421,ระเบียบการดรอปเรียนมีว่าอะไรบ้างคะ
422,เปิดเทอมวันไหน
423,ลงทะเบียนเรียนวันไหน
424,เรียนยากไหม
425,ขอหลักสูตรหน่อยค่ะ
426,เปิดเทอมวันไหน
427,ลงทะเบียนเรียนตอนไหน
428,ลงทะเบียนเรียนวันแรกตอนไหนคะ
429,ขอดูหลักสูตรหน่อย
430,ต้องเรียนอะไรบ้าง
431,เรียนอะไรบ้าง
432,เปิดให้ลงทะเบียนเรียนวันไหนคะ
433,เรียนแมทกี่ตัว
434,เรียนยากไหม
435,เปิดเทอมเมื่อไร
436,จบอะไรถึงเรียนได้
437,สมัครเรียนยังไง
438,วันไหนเป็นวันลงทะเบียนเรียน
439,จบศิลป์เรียนได้ไหม
440,ต้องจบอะไรถึงเข้าที่นี่ได้
441,สาขาอยู่ตรงไหน
442,ขอเว็บไซต์สาขาหน่อย
443,ขอเว็บสาขาหน่อย
444,เปิดให้ลงทะเบียนวันไหน
445,ขอบคุณครับ
446,มีหอพักไหม
447,เรียนยากไหม
448,สวัสดีนะคะ
449,เปิดเทอมวันไหน
450,ดรอปเรียนต้องทำยังไงบ้างคะ
451,หอพักที่นี่ราคาเท่าไรคะ
452,ที่มอมีหอพักไหมคะ
453,หอพักมีกี่หอคะ
454,สวัสดีครับ
455,ขอบคุณครับ
456,เรียนยากไหมครับ
457,ขอดูหลักสูตรหน่อย
458,เปิดเทอมวันไหน
459,ลงทะเบียนเรียนตอนไหน
460,เรียนยากไหม
461,ค่าเทอมเท่าไหร่
462,ค่าหอเท่าไหร่
463,มีหอพักป่าว
464,ขอเว็บสาขาหน่อย
465,สมัครเรียนยังไง
466,สายศิลป์เรียนได้ไหม
467,ขอบคุณ
468,ขอบคุณครับ
469,ขอบคุณมากๆครับ
470,เรียนยากไหม
471,เรียนแมทกี่ตัว
472,จบไปทำงานอะไร
473,เรียนกี่ปีจบครับ
474,เรียนกี่ปีถึงจะจบครับ
475,เรียนหนักไหม
476,ค่าเทอมเท่าไหร่
477,สวัสดีครับ
478,ค่าเทอมเท่าไหร่ครับ
479,ค่าเทอมแพงไหมครับ
480,สวัสดีครับ
481,ค่าเทอมแพงไหม
482,ค่าเทอม เทอมละเท่าไหร่
483,เรียนกี่ปีจบครับ
484,ขอบคุณมากครับ
485,เรียนยากไหมครับ
486,ต้องเรียนแมทกี่ตัว
487,เรียนหนักไหม
488,มีที่พักป่าว
489,ลงทะเบียนเรียนวันไหน
490,เปิดเทอมวันไหนครับ
491,ขอเว็บสาขาหน่อย
492,ติดต่อสาขายังไง
493,จบไปทำอะไรได้บ้าง
494,สมัครเรียนยากไหม
495,จบอะไรถึงจะเรียนได้
496,ต้องจบอะไรถึงจะสมัครได้ครับ
497,สมัครเรียนยังไง
498,จบศิลป์มา เรียนได้ป่าว
499,เรียนยากไหม
500,ขอบคุณจ๊ะ
501,ขอบคุณมากๆครับ
502,หวัดดีครับ
503,สอบมิดเทอมวันไหน
504,สอบไฟนอลวันไหน
505,วันสอบมิดเทอมวันไหน
506,สอบกลางภาควันไหน
507,สอบปลายภาควันไหน
508,วันสอบไฟนอลวันไหน 
509,สอบ midterm วันไหน
510,สอบ final วันไหน 
511,สอบวันไหน
512,สอบวันไหนครับ
513,สอบมิดเทอมวันไหน
514,สอบไฟนอลวันไหน
515,final วันไหน
516,midterm วันไหน
517,สอบไฟนอลเมื่อไหร่
518,สอบมิดเทอมเมื่อไหร่
519,สอบกลางภาคเมื่อไร
520,สอบปลายภาคเมื่อไร
521,กลางภาคสอบวันไหน
522,ปลายภาคสอบวันไหน
523,สอบวันไหนครับ
524,สอบวันไหนเอ่ย
525,สอบวันไหนวันไหนอะ
526,สอบปลายภาควันไหน
527,สอบเมื่อไหร่
528,สอบกลางภาคตอนไหน
529,สอบมิดเทอมวันไหน
530,สอบกลางภาค
531,สอบปลายภาคเมื่อไหร่
532,สอบไฟนอลเมื่อไหร่
533,สอบวันไหน
534,มิดเทอมวันไหน
535,ไฟนอลวันไหน
536,กลางภาควันไหน
537,ปลายภาควันไหน
538,กลางภาคเมื่อไหร
539,ปลายภาคเมื่อไหร
540,final เมื่อไหร
541,midterm เมื่อไหร
542,final วันไหน
543,final ตอนไหน
544,ปิดเทอมวันไหน
545,ปิดเทอมวันไหน
546,ปิดเทอมเมื่อไหร
547,จะเปิดเทอมวันไหน 
548,เมื่อไหร่จะปิดเทอม 
549,จะปิดเทอมวันไหน
550,จะปิดเทอมเมื่อไหร่
551,ปิดเทอมวันไหน
552,ปิดเทอมเมื่อไหร่
553,ไฟนอลวันไหน 
554,สอบบวันไหน
555,สอบเมื่อไหร
556,สอบ final วันไหน
557,ขอวันสอบ final หน่อย
558,วันสอบ midterm 
559,วันปิดเทอม
560,ปิดเทอมเมื่อไหร่
561,สอบปลายภาควันไหนคะ
562,ปิดเทอมวันไหน
563,สอบกลาภาควันไหนหรอคะ
564,ปิดเทอมเมื่อไหร
565,ปิดเทอมเมื่อไหร่
566,ปิดเทอมตอนไหน
567,ปิดเทอมวันไหน
568,จะปิดเทอมวันไหน
569,เปิดเทอมตอนไหน
570,ไฟนอลตอนไหน
571,final เมื่อไหร่
572,ปลายภาคสอบวันไหน
573,ปลายภาคสอบตอนไหน
574,กลางภาคสอบตอนไหน
575,ขอวันสอบกลางภาคหน่อย
576,สอบมิดเทอมวันไหน
577,สอบ midterm วันไหน
578,สอบ final วันไหน
579,วันสอบ final
580,วันสอบ midterm ]
581,กลางภาคเริ่มสอบวันไหน
582,ปลายภาคเริ่มสอบเมื่อไร
583,ปลายภาคสอบวันไหน
584,กลางภาคสอบเมื่อไร
585,สอบกลางภาควันไหน
586,สอบปลายภาควันไหนครับ
587,midterm วันไหน
588,สอบ final วันไหน
589,สอบ midterm วันไหน
590,[Sticker]
591,ขอเว็บไซต์มหาลัยหน่อย
592,ขอเว็บคณะหน่อย
593,มีเว็บคณะไหม
594,ขอเว็บคณะหน่อยครับ
595,ขอเว็บมหาลัยหน่อยครับ
596,ขอเว็บคณะหน่อย 
597,ขอเว็บคณะหน่อย
598,ขอเว็บไซต์มหาลัยหน่อย
599,มีเว็บไซต์มหาลัยไหม
600,มีเว็บไซต์คณะป่าว
601,ขอเว็บคณะหน่อย
602,ขอเว็บมหาลัยหน่อยครับ
603,ขอเว็บของมหาวิทยาลัยหน่อยค่ะ
