,centroids_id,number,sse
0,0,1,0.0
1,1,5,1.3561501355979526
2,2,12,5.902355326046967
3,3,1,0.0
4,4,6,2.9001276754076235
5,5,10,2.9077263229379104
6,6,9,1.9462944427604123
7,7,1,0.0
8,8,8,2.594810126868454
9,9,10,2.8463285805400345
10,10,1,0.0
11,11,2,0.401488101000415
12,12,3,1.0359417978607526
13,13,1,0.0
14,14,152,114.28641799059329
15,15,6,1.786008665206507
16,16,3,0.8131401427537908
17,17,5,1.9650620247316553
18,18,3,0.46184282356726075
19,19,1,0.0
20,20,10,4.532088617402793
21,21,4,0.6733639819321906
22,22,6,1.5698175854482554
23,23,9,1.2796265865042498
24,24,6,1.1175357218012039
25,25,5,0.8759690651332565
26,26,2,0.034666808375907604
27,27,10,2.601311388648064
28,28,9,4.627056052148911
29,29,5,0.6812655495367557
30,30,3,0.20487531371606688
31,31,1,0.0
32,32,8,1.0892432108471772
33,33,10,1.9162504630539543
34,34,10,3.7587021435023917
35,35,10,3.4647368537361527
36,36,7,2.295452646065698
37,37,1,0.0
38,38,3,0.19753324009298423
39,39,6,1.1029544941979332
40,40,8,1.7676092688695875
41,41,5,1.115623119262075
42,42,11,4.085021859691581
43,43,3,0.6807887888956494
44,44,4,1.0434770094305983
45,45,9,3.3718044940243357
46,46,2,0.2689053830300713
47,47,5,1.3886656467701783
48,48,3,0.5413472965114494
49,49,6,1.5408439924463375
50,50,3,0.3357849516175474
51,51,4,0.8820951711943649
52,52,5,0.6816802562160476
53,53,4,0.8356841141419642
54,54,6,2.0671727014627157
55,55,2,0.2958871785719509
56,56,4,0.6354602614055547
57,57,2,0.23766849415123859
58,58,2,0.08177080346693966
59,59,3,0.43267989051106287
60,60,5,1.4183883597649143
61,61,2,0.15741275015069792
62,62,11,3.0316947380319994
63,63,3,0.8039582183506787
64,64,4,0.0
65,65,4,0.8774514732275198
66,66,2,0.4232448656419584
67,67,1,0.0
68,68,1,0.0
69,69,1,0.0
70,70,2,0.4233293317353413
71,71,4,1.3286035462144643
72,72,5,0.5448889699724813
73,73,5,1.8267104633020144
74,74,4,0.5277785539173282
75,75,1,0.0
76,76,4,1.2571665719470067
77,77,2,0.21826190434211862
78,78,3,0.26327236310590363
79,79,6,1.2491118748226753
80,80,3,0.6532789473839655
81,81,2,0.0
82,82,6,2.022436158292059
83,83,4,1.483658179865856
84,84,2,0.2772058659556962
85,85,5,1.9175151527120473
86,86,4,0.6604387087285108
87,87,4,0.9525028603317918
88,88,3,0.8138522855012266
89,89,2,0.0
90,90,4,0.9428723555332122
91,91,2,0.11171473773959312
92,92,1,0.0
93,93,1,0.0
94,94,1,0.0
95,95,10,4.111918218678016
96,96,2,0.32910691376915885
97,97,2,0.22531689329620597
98,98,4,1.7465400936716233
99,99,5,1.5602665166293375
100,100,7,3.24011014581983
101,101,7,2.5779254365671966
102,102,5,1.9654806050450997
103,103,4,1.6770276037782503
104,104,4,0.6597890435198842
105,105,2,0.4911197826611212
106,106,2,0.445867740188578
107,107,4,1.4453192430709065
108,108,2,0.2964355529346614
109,109,2,0.22725322729667669
110,110,4,0.7136507486097264
111,111,8,4.45381637972322
112,112,7,3.1943111286683434
113,113,5,1.200499753508775
114,114,1,3.0814879110195774e-33
115,115,2,0.2818942176964886
116,116,3,0.24240702735165465
117,117,1,0.0
118,118,4,0.9847031683871292
119,119,2,0.4133278682389415
120,120,4,1.0361260077221215
121,121,1,0.0
122,122,3,0.8492690074886007
123,123,4,1.0507862786806534
124,124,2,0.0
125,125,3,0.8245419185739902
126,126,2,0.3213898076138185
127,127,2,0.34880967961564013
128,128,2,0.27373369297825023
129,129,3,1.0728503792388142
130,130,3,0.8050483267756582
131,131,5,1.3640505367338556
132,132,8,2.5311467644889705
133,133,3,0.63116027983681
134,134,4,1.6103771941543603
135,135,4,1.1890893727740786
136,136,2,0.06040289994110912
137,137,5,1.753067710719483
138,138,4,0.30281309984372456
139,139,3,0.5372276453286894
140,140,2,0.12422962851438003
141,141,3,0.6080352758202595
142,142,1,0.0
143,143,2,0.22684355349635305
144,144,5,1.9833433549473103
145,145,2,0.26808983257452224
146,146,1,0.0
147,147,2,0.4140860073200152
148,148,3,0.3957403622612944
149,149,3,1.1102842744352013
150,150,2,0.3238259653341616
151,151,3,0.9475089304705813
152,152,2,0.1071799307636525
153,153,4,1.489929488266686
154,154,3,0.6336796902470699
155,155,4,1.5419056873925878
156,156,6,2.9192305177040954
157,157,1,0.0
158,158,2,0.0
159,159,2,0.4148395344027889
160,160,1,0.0
161,161,4,1.2322921303305787
162,162,2,0.43476069600767736
163,163,2,0.41484404643811273
164,164,2,0.32460138250408166
165,165,3,0.8553655258553526
166,166,2,0.3827782456460737
167,167,1,0.0
168,168,3,0.4845234402653754
169,169,2,0.0
170,170,2,0.2813090645716438
171,171,1,0.0
172,172,3,0.9094412058506929
173,173,3,0.47801329004892545
174,174,2,0.3951912085123734
175,175,4,0.7139456632584066
176,176,2,0.48661065146957455
177,177,2,0.38044575269364245
178,178,1,0.0
179,179,1,0.0
180,180,2,0.3185565191346663
181,181,2,0.40488666154056874
182,182,2,0.19587174540013497
183,183,5,1.2942536403166847
184,184,1,0.0
185,185,1,0.0
186,186,1,0.0
187,187,2,0.3691906434677304
188,188,2,0.3160995744357943
189,189,3,0.9959267958134278
190,190,2,0.4165950447978847
191,191,2,0.3053712390187934
192,192,3,0.6848813489765733
193,193,2,0.31720670089108016
194,194,2,0.0
195,195,2,0.18631199122348044
196,196,2,0.4645594699528987
197,197,1,0.0
198,198,1,0.0
199,199,1,0.0
200,200,2,0.0597735212579352
201,201,4,1.7677293884108813
202,202,7,2.6013051785359957
203,203,1,0.0
204,204,4,1.5488083731988966
205,205,1,0.0
206,206,3,1.0510974061008997
207,207,2,0.38411021497657394
208,208,1,0.0
209,209,2,0.12850197666014582
210,210,1,0.0
211,211,2,0.28258147672076717
212,212,6,1.5193163639727287
213,213,2,0.44089496637521663
214,214,2,0.28213073278032974
215,215,3,0.8820753234138359
216,216,6,3.131535197008557
217,217,1,0.0
218,218,2,0.3287672398877055
219,219,2,0.49334178956993957
220,220,2,0.41098347487946385
221,221,2,0.23382777623388046
222,222,1,0.0
223,223,2,0.2887500104737678
224,224,1,0.0
225,225,1,0.0
226,226,3,0.7243645658445952
227,227,1,0.0
228,228,1,0.0
229,229,1,0.0
230,230,1,0.0
231,231,1,0.0
232,232,4,1.2603510226742138
233,233,2,0.38503044335316144
234,234,1,0.0
235,235,2,0.25384498897368635
236,236,1,0.0
237,237,1,0.0
238,238,2,0.04788234339221413
239,239,2,0.37676285976433066
240,240,1,0.0
241,241,1,0.0
242,242,3,1.0145412744529327
243,243,4,0.683001275057891
244,244,1,0.0
245,245,1,0.0
246,246,3,0.39462769473482706
247,247,3,1.0230264001073501
248,248,1,0.0
249,249,2,0.49367379289088464
250,250,1,0.0
251,251,1,0.0
252,252,1,0.0
253,253,1,0.0
254,254,3,0.9849319277978738
255,255,1,0.0
256,256,3,0.5968944968487383
257,257,6,2.5511706332859885
258,258,1,0.0
259,259,1,0.0
260,260,1,0.0
261,261,1,0.0
262,262,1,0.0
263,263,1,0.0
264,264,1,0.0
265,265,1,0.0
266,266,1,0.0
267,267,2,0.3624578145938004
268,268,1,0.0
269,269,1,0.0
270,270,1,0.0
271,271,1,0.0
272,272,1,7.703719777548943e-34
273,273,1,0.0
274,274,2,0.10529910240986069
275,275,1,0.0
276,276,1,0.0
277,277,1,0.0
278,278,1,0.0
279,279,1,0.0
280,280,1,0.0
281,281,1,0.0
282,282,1,0.0
283,283,1,0.0
284,284,1,0.0
285,285,1,0.0
286,286,1,0.0
287,287,1,0.0
288,288,1,0.0
289,289,4,1.231728240384394
290,290,1,0.0
291,291,1,0.0
292,292,2,0.39156178089280685
293,293,2,0.3349910099813762
294,294,1,0.0
295,295,1,0.0
296,296,2,0.2232014321327396
297,297,1,0.0
298,298,1,0.0
299,299,1,0.0
300,300,1,0.0
301,301,1,0.0
302,302,1,0.0
303,303,1,0.0
304,304,1,0.0
305,305,1,0.0
306,306,1,0.0
307,307,1,0.0
308,308,1,0.0
